,YearStart,YearEnd,LocationAbbr,LocationDesc,StratificationCategory1,Stratification1,StratificationCategoryID1,StratificationID1,LocationID,OverweightValue,ObeseValue,TvValue,SodaValue,VegetableValue,FruitValue,PhysicalActivityValue,PhysicalEducationValue
24,2019,2019,VT,Vermont,Grade,9th,GRADE,GRADE09,50,18.4,22.2,18.0,22.1,47.3,48.2,24.5,30.0
25,2019,2019,WV,West Virginia,Grade,10th,GRADE,GRADE10,54,14.4,13.7,24.1,20.1,34.2,34.3,32.2,33.6
28,2015,2015,ME,Maine,Race/Ethnicity,Hispanic,RACE,RACEHIS,23,20.9,23.4,18.7,17.2,41.7,55.8,17.2,9.7
29,2017,2017,GU,Guam,Grade,10th,GRADE,GRADE10,66,13.4,14.9,31.5,25.3,41.9,35.5,34.1,30.9
31,2005,2005,ID,Idaho,Grade,11th,GRADE,GRADE11,16,16.6,10.9,32.2,24.1,38.7,40.0,17.7,24.0
32,2013,2013,US,National,Gender,Female,GEN,FEMALE,59,16.0,10.5,19.7,16.7,33.3,38.0,31.2,40.6
35,2005,2005,NH,New Hampshire,Gender,Female,GEN,FEMALE,33,13.6,12.2,19.8,17.9,32.8,32.8,27.1,16.9
37,2017,2017,ND,North Dakota,Total,Total,OVR,OVERALL,38,15.7,20.0,22.1,27.3,41.2,53.5,24.6,23.8
38,2017,2017,OK,Oklahoma,Grade,12th,GRADE,GRADE12,40,13.4,11.9,34.0,32.4,44.3,39.0,24.9,28.9
39,2009,2009,TX,Texas,Grade,11th,GRADE,GRADE11,48,17.7,24.8,23.3,19.0,46.9,51.9,26.3,7.4
42,2011,2011,VT,Vermont,Grade,9th,GRADE,GRADE09,50,16.6,16.4,23.3,28.5,51.7,50.8,22.0,37.6
43,2015,2015,KY,Kentucky,Grade,9th,GRADE,GRADE09,21,17.4,11.5,40.8,34.9,42.3,41.8,25.2,40.5
44,2007,2007,IL,Illinois,Grade,9th,GRADE,GRADE09,17,15.6,12.8,35.0,33.7,42.6,37.1,21.7,47.3
48,2005,2005,US,National,Grade,10th,GRADE,GRADE10,59,16.9,14.0,30.0,33.7,36.4,39.6,21.0,13.2
50,2005,2005,TN,Tennessee,Gender,Female,GEN,FEMALE,47,16.1,13.6,32.3,25.4,38.9,36.3,27.6,31.1
55,2001,2001,US,National,Gender,Female,GEN,FEMALE,59,16.4,18.3,35.5,19.6,48.1,31.3,25.0,19.6
61,2009,2009,IN,Indiana,Total,Total,OVR,OVERALL,18,14.6,9.6,22.5,18.3,37.7,42.2,12.2,12.4
